OSD188_6_14_RI	OSD189_6_14_YNG	OSD190_6_14_KI	OSD191_6_14_DRW	OSD31_6_14_PH	OSD32_6_14_NSI	OSD33_6_14_MI
1	0	0	1	0	0	0	Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Simkaniaceae;
0	0	1	3	2	2	1	Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Simkaniaceae;Candidatus Fritschea;
0	0	0	2	0	1	0	Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Simkaniaceae;Simkania;
3	1	1	1	0	0	1	Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Simkaniaceae;uncultured;
0	14	1	20	2	6	0	Bacteria;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae;Chlorobium;
0	0	0	2	0	0	0	Bacteria;Chlorobi;Chlorobia;Chlorobiales;OC31;
0	0	0	1	0	0	0	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Ornatilinea;
2	0	1	33	0	0	0	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;
1	0	0	3	0	0	0	Bacteria;Chloroflexi;Ardenticatenia;uncultured;
0	0	0	2	0	0	0	Bacteria;Chloroflexi;Caldilineae;Caldilineales;Caldilineaceae;uncultured;
12	0	12	9	0	2	52	Bacteria;Chloroflexi;JG30-KF-CM66;
179	262	95	37	28	74	314	Bacteria;Chloroflexi;SAR202 clade;
0	0	0	1	0	0	0	Bacteria;Chloroflexi;TK10;
1620	1334	3278	1245	1725	4333	1351	Bacteria;Cyanobacteria;Chloroplast;
1	1	0	1	0	1	0	Bacteria;Cyanobacteria;Cyanobacteria;SubsectionI;FamilyI;
0	0	0	1	0	0	0	Bacteria;Cyanobacteria;Cyanobacteria;SubsectionI;FamilyI;Cyanobacterium;
526	2238	143	360	372	1586	195	Bacteria;Cyanobacteria;Cyanobacteria;SubsectionI;FamilyI;Prochlorococcus;
1654	3431	1589	3929	3162	2404	838	Bacteria;Cyanobacteria;Cyanobacteria;SubsectionI;FamilyI;Synechococcus;
1	0	0	0	0	0	0	Bacteria;Cyanobacteria;Cyanobacteria;SubsectionIII;FamilyI;Leptolyngbya;
1	51	0	13	0	0	0	Bacteria;Cyanobacteria;Cyanobacteria;SubsectionIII;FamilyI;Oscillatoria;
0	0	1	0	0	0	0	Bacteria;Cyanobacteria;Cyanobacteria;SubsectionIII;FamilyI;Phormidium;
0	0	0	1	1	0	0	Bacteria;Cyanobacteria;Cyanobacteria;SubsectionIII;FamilyI;Planktothricoides;
1	104	0	1	1	0	1	Bacteria;Cyanobacteria;Cyanobacteria;SubsectionIII;FamilyI;Trichodesmium;
1	2	0	1	0	0	0	Bacteria;Cyanobacteria;Cyanobacteria;SubsectionIV;FamilyII;Calothrix;
12	15	10	33	1	2	21	Bacteria;Cyanobacteria;ML635J-21;
0	1	0	1	0	0	0	Bacteria;Cyanobacteria;Melainabacteria;Caenarcaniphilales;
