primary_accession	OSD188_6_14_RI	OSD189_6_14_YNG	OSD190_6_14_KI	OSD191_6_14_DRW	OSD31_6_14_PH	OSD32_6_14_NSI	OSD33_6_14_MI
M01153_28_000000000-ABJE2_1_1101_11671_4996	0	0	0	71	0	0	0
M01153_28_000000000-ABJE2_1_1101_11676_6285	0	0	0	0	31	0	0
M01153_28_000000000-ABJE2_1_1101_11680_12237	44	5	13	0	43	30	4
M01153_28_000000000-ABJE2_1_1101_11689_15698	5	0	0	7	0	2	36
M01153_28_000000000-ABJE2_1_1101_11703_9160	0	0	5	0	16	0	0
M01153_28_000000000-ABJE2_1_1101_11719_23820	25	195	0	0	9	28	0
M01153_28_000000000-ABJE2_1_1101_11724_21046	32	73	0	109	30	19	1
M01153_28_000000000-ABJE2_1_1101_11726_12081	0	0	0	0	19	168	0
M01153_28_000000000-ABJE2_1_1101_11727_9318	1	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_11728_25663	7	0	2	4	0	0	2
M01153_28_000000000-ABJE2_1_1101_11735_23368	8	0	0	4	0	11	0
M01153_28_000000000-ABJE2_1_1101_11738_4896	0	1	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_11739_8252	0	0	2	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_11739_9670	0	0	0	0	0	0	2
M01153_28_000000000-ABJE2_1_1101_11743_11141	0	0	0	0	0	0	1
M01153_28_000000000-ABJE2_1_1101_11747_4749	0	0	0	0	99	0	0
M01153_28_000000000-ABJE2_1_1101_11751_5699	0	64	0	0	23	0	0
M01153_28_000000000-ABJE2_1_1101_11759_9873	0	0	0	0	1	0	0
M01153_28_000000000-ABJE2_1_1101_11794_7037	15	1	4	0	9	7	2
M01153_28_000000000-ABJE2_1_1101_11795_23438	0	7	61	0	117	0	0
M01153_28_000000000-ABJE2_1_1101_11803_19989	0	0	0	0	0	0	1
M01153_28_000000000-ABJE2_1_1101_11810_5655	0	0	1	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_11811_4113	0	0	29	0	0	0	49
M01153_28_000000000-ABJE2_1_1101_11815_16016	0	0	0	0	2	0	0
M01153_28_000000000-ABJE2_1_1101_11831_24956	33	0	154	0	33	0	10
M01153_28_000000000-ABJE2_1_1101_11834_9180	0	0	1	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_11839_7765	0	0	55	0	0	0	5
M01153_28_000000000-ABJE2_1_1101_11842_9835	0	0	0	0	3	0	0
M01153_28_000000000-ABJE2_1_1101_11843_8878	211	130	0	41	0	106	0
M01153_28_000000000-ABJE2_1_1101_11844_23808	0	0	0	51	0	0	0
M01153_28_000000000-ABJE2_1_1101_11872_28591	0	0	0	0	0	8	0
M01153_28_000000000-ABJE2_1_1101_11873_16196	0	0	0	0	0	0	1
M01153_28_000000000-ABJE2_1_1101_11897_15610	0	0	0	0	3	0	0
M01153_28_000000000-ABJE2_1_1101_11908_10341	0	0	2	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_11913_5943	0	19	0	0	3	0	0
M01153_28_000000000-ABJE2_1_1101_11915_25520	2	2	0	0	5	6	0
M01153_28_000000000-ABJE2_1_1101_11930_7940	2	0	10	0	2	0	6
M01153_28_000000000-ABJE2_1_1101_11934_6280	0	0	0	3	0	0	0
M01153_28_000000000-ABJE2_1_1101_11953_18057	0	0	0	0	0	0	1
M01153_28_000000000-ABJE2_1_1101_11953_28348	0	0	14	0	2	1	1
M01153_28_000000000-ABJE2_1_1101_11953_8089	43	0	0	0	0	201	0
M01153_28_000000000-ABJE2_1_1101_11960_2977	0	0	0	0	2	0	0
M01153_28_000000000-ABJE2_1_1101_11962_6153	1	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_11984_4992	0	0	0	0	1	0	0
M01153_28_000000000-ABJE2_1_1101_11992_4647	1	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_12004_15996	2	0	0	0	24	0	0
M01153_28_000000000-ABJE2_1_1101_12005_15667	0	0	0	1	0	0	0
M01153_28_000000000-ABJE2_1_1101_12009_3950	0	0	0	1	0	0	0
M01153_28_000000000-ABJE2_1_1101_12012_15168	93	0	0	58	0	0	3
M01153_28_000000000-ABJE2_1_1101_12013_12058	6	11	0	1	2	0	0
M01153_28_000000000-ABJE2_1_1101_12016_18887	9	0	0	12	2	65	0
M01153_28_000000000-ABJE2_1_1101_12019_21247	0	1	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_12020_26273	0	2	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_12043_4547	0	7	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_12046_20817	0	6	0	0	3	0	0
M01153_28_000000000-ABJE2_1_1101_12086_25263	0	0	0	0	1	0	0
M01153_28_000000000-ABJE2_1_1101_12088_21546	0	0	2	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_12090_11997	0	2	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_12100_9972	0	0	156	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_12103_22014	0	0	39	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_12104_22668	0	0	0	0	1	0	0
M01153_28_000000000-ABJE2_1_1101_12106_15312	0	0	0	0	0	1	0
M01153_28_000000000-ABJE2_1_1101_12106_4249	0	0	0	8	0	0	0
M01153_28_000000000-ABJE2_1_1101_12110_3634	0	0	15	0	0	0	28
M01153_28_000000000-ABJE2_1_1101_12113_6852	0	0	0	0	0	0	2
M01153_28_000000000-ABJE2_1_1101_12132_17209	0	0	4	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_12142_21722	0	0	0	0	185	0	0
M01153_28_000000000-ABJE2_1_1101_12145_3454	34	2	0	0	4	9	0
M01153_28_000000000-ABJE2_1_1101_12154_1918	3	0	0	0	29	0	0
M01153_28_000000000-ABJE2_1_1101_12163_11047	69	0	0	0	0	15	0
M01153_28_000000000-ABJE2_1_1101_12175_2812	137	0	0	0	0	63	0
M01153_28_000000000-ABJE2_1_1101_12177_17192	0	0	0	1	0	0	0
M01153_28_000000000-ABJE2_1_1101_12183_4048	0	0	0	0	1	0	0
M01153_28_000000000-ABJE2_1_1101_12185_2884	0	0	1	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_12209_18169	1	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_12214_24171	1	0	0	0	0	2	13
M01153_28_000000000-ABJE2_1_1101_12220_24428	0	0	0	2	0	0	0
M01153_28_000000000-ABJE2_1_1101_12222_6158	0	0	0	0	30	0	0
M01153_28_000000000-ABJE2_1_1101_12229_18914	0	9	0	0	11	2	0
M01153_28_000000000-ABJE2_1_1101_12241_6933	0	0	0	0	58	0	0
M01153_28_000000000-ABJE2_1_1101_12255_17907	8	0	2	0	2	7	3
M01153_28_000000000-ABJE2_1_1101_12268_23332	32	2	0	1	1	10	0
M01153_28_000000000-ABJE2_1_1101_12287_17440	0	0	0	0	1	0	0
M01153_28_000000000-ABJE2_1_1101_12296_8738	17	12	0	0	1	2	0
M01153_28_000000000-ABJE2_1_1101_12297_15999	3	0	0	0	0	1	25
M01153_28_000000000-ABJE2_1_1101_12302_3042	0	0	0	0	0	7	0
M01153_28_000000000-ABJE2_1_1101_12304_12233	0	0	0	0	1	0	0
M01153_28_000000000-ABJE2_1_1101_12309_2904	0	0	0	0	0	0	1
M01153_28_000000000-ABJE2_1_1101_12312_28411	0	0	0	0	0	0	1
M01153_28_000000000-ABJE2_1_1101_12324_6417	0	0	0	1	1	0	0
M01153_28_000000000-ABJE2_1_1101_12327_12427	0	0	0	0	0	0	9
M01153_28_000000000-ABJE2_1_1101_12330_6832	0	3	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_12340_25590	118	0	0	0	45	0	0
M01153_28_000000000-ABJE2_1_1101_12341_5438	0	0	8	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_12354_13697	0	13	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_12368_11232	0	72	5	0	161	0	0
M01153_28_000000000-ABJE2_1_1101_12371_22895	2	0	0	0	3	4	0
M01153_28_000000000-ABJE2_1_1101_12373_11249	0	1	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_12373_20580	0	0	0	2	0	0	0
M01153_28_000000000-ABJE2_1_1101_12376_4813	0	0	0	0	1	0	0
M01153_28_000000000-ABJE2_1_1101_12381_27113	2	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_12391_10466	0	0	0	1	0	0	0
M01153_28_000000000-ABJE2_1_1101_12397_5672	25	16	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_12401_11237	0	0	0	1	0	0	0
M01153_28_000000000-ABJE2_1_1101_12420_16389	0	1	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_12425_15376	0	1	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_12427_8579	0	0	9	10	0	0	0
M01153_28_000000000-ABJE2_1_1101_12428_3381	0	1	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_12431_7463	0	1	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_12448_9407	2	0	21	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_12461_28124	1	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_12475_17208	0	215	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_12502_6836	0	83	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_12513_12638	1	0	0	0	0	1	0
M01153_28_000000000-ABJE2_1_1101_12516_3167	0	0	0	1	0	0	0
M01153_28_000000000-ABJE2_1_1101_12518_7003	0	0	0	1	0	0	0
M01153_28_000000000-ABJE2_1_1101_12560_26998	0	0	1	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_12569_13744	1	0	0	0	0	11	0
M01153_28_000000000-ABJE2_1_1101_12570_9119	0	0	0	0	1	0	0
M01153_28_000000000-ABJE2_1_1101_12589_28575	0	0	12	44	0	0	0
M01153_28_000000000-ABJE2_1_1101_12615_11868	0	146	5	10	26	39	2
M01153_28_000000000-ABJE2_1_1101_12631_13779	0	0	0	0	5	0	0
M01153_28_000000000-ABJE2_1_1101_12656_20531	0	0	6	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_12660_8485	0	0	0	0	0	0	30
M01153_28_000000000-ABJE2_1_1101_12663_24574	0	0	7	0	11	0	47
M01153_28_000000000-ABJE2_1_1101_12675_10938	68	325	13	157	329	69	3
M01153_28_000000000-ABJE2_1_1101_12677_27253	191	19	0	12	15	32	4
M01153_28_000000000-ABJE2_1_1101_12682_18737	0	0	0	0	43	123	0
M01153_28_000000000-ABJE2_1_1101_12705_15540	0	0	0	0	1	0	0
M01153_28_000000000-ABJE2_1_1101_12710_17462	0	14	3	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_12731_15691	104	98	82	0	35	120	0
M01153_28_000000000-ABJE2_1_1101_12733_21921	0	0	0	0	0	0	1
M01153_28_000000000-ABJE2_1_1101_12734_5854	0	0	0	0	1	0	0
M01153_28_000000000-ABJE2_1_1101_12744_9388	194	86	725	0	104	31	21
M01153_28_000000000-ABJE2_1_1101_12749_8780	0	0	0	0	0	1	0
M01153_28_000000000-ABJE2_1_1101_12761_8849	0	0	0	0	0	1	0
